areaCode,areaName,areaType,date,hospitalCases
N92000002,Northern Ireland,nation,2022-09-23,385
N92000002,Northern Ireland,nation,2022-09-22,371
N92000002,Northern Ireland,nation,2022-09-21,370
N92000002,Northern Ireland,nation,2022-09-20,362
N92000002,Northern Ireland,nation,2022-09-19,358
N92000002,Northern Ireland,nation,2022-09-18,348
N92000002,Northern Ireland,nation,2022-09-17,331
N92000002,Northern Ireland,nation,2022-09-16,332
N92000002,Northern Ireland,nation,2022-09-15,336
N92000002,Northern Ireland,nation,2022-09-14,328
N92000002,Northern Ireland,nation,2022-09-13,321
N92000002,Northern Ireland,nation,2022-09-12,321
N92000002,Northern Ireland,nation,2022-09-11,319
N92000002,Northern Ireland,nation,2022-09-10,309
N92000002,Northern Ireland,nation,2022-09-09,308
N92000002,Northern Ireland,nation,2022-09-08,323
N92000002,Northern Ireland,nation,2022-09-07,323
N92000002,Northern Ireland,nation,2022-09-06,323
N92000002,Northern Ireland,nation,2022-09-05,320
N92000002,Northern Ireland,nation,2022-09-04,330
N92000002,Northern Ireland,nation,2022-09-03,324
N92000002,Northern Ireland,nation,2022-09-02,327
N92000002,Northern Ireland,nation,2022-09-01,342
N92000002,Northern Ireland,nation,2022-08-31,343
N92000002,Northern Ireland,nation,2022-08-30,348
N92000002,Northern Ireland,nation,2022-08-29,363
N92000002,Northern Ireland,nation,2022-08-28,368
N92000002,Northern Ireland,nation,2022-08-27,366
N92000002,Northern Ireland,nation,2022-08-26,363
N92000002,Northern Ireland,nation,2022-08-25,370
N92000002,Northern Ireland,nation,2022-08-24,385
N92000002,Northern Ireland,nation,2022-08-23,395
N92000002,Northern Ireland,nation,2022-08-22,408
N92000002,Northern Ireland,nation,2022-08-21,421
N92000002,Northern Ireland,nation,2022-08-20,419
N92000002,Northern Ireland,nation,2022-08-19,413
N92000002,Northern Ireland,nation,2022-08-18,428
N92000002,Northern Ireland,nation,2022-08-17,439
N92000002,Northern Ireland,nation,2022-08-16,451
N92000002,Northern Ireland,nation,2022-08-15,456
N92000002,Northern Ireland,nation,2022-08-14,455
N92000002,Northern Ireland,nation,2022-08-13,448
N92000002,Northern Ireland,nation,2022-08-12,446
N92000002,Northern Ireland,nation,2022-08-11,463
N92000002,Northern Ireland,nation,2022-08-10,466
N92000002,Northern Ireland,nation,2022-08-09,477
N92000002,Northern Ireland,nation,2022-08-08,484
N92000002,Northern Ireland,nation,2022-08-07,493
N92000002,Northern Ireland,nation,2022-08-06,493
N92000002,Northern Ireland,nation,2022-08-05,489
N92000002,Northern Ireland,nation,2022-08-04,499
N92000002,Northern Ireland,nation,2022-08-03,505
N92000002,Northern Ireland,nation,2022-08-02,511
N92000002,Northern Ireland,nation,2022-08-01,535
N92000002,Northern Ireland,nation,2022-07-31,550
N92000002,Northern Ireland,nation,2022-07-30,540
N92000002,Northern Ireland,nation,2022-07-29,535
N92000002,Northern Ireland,nation,2022-07-28,565
N92000002,Northern Ireland,nation,2022-07-27,587
N92000002,Northern Ireland,nation,2022-07-26,610
N92000002,Northern Ireland,nation,2022-07-25,641
N92000002,Northern Ireland,nation,2022-07-24,651
N92000002,Northern Ireland,nation,2022-07-23,646
N92000002,Northern Ireland,nation,2022-07-22,654
N92000002,Northern Ireland,nation,2022-07-21,675
N92000002,Northern Ireland,nation,2022-07-20,703
N92000002,Northern Ireland,nation,2022-07-19,709
N92000002,Northern Ireland,nation,2022-07-18,721
N92000002,Northern Ireland,nation,2022-07-17,736
N92000002,Northern Ireland,nation,2022-07-16,736
N92000002,Northern Ireland,nation,2022-07-15,730
N92000002,Northern Ireland,nation,2022-07-14,736
N92000002,Northern Ireland,nation,2022-07-13,746
N92000002,Northern Ireland,nation,2022-07-12,757
N92000002,Northern Ireland,nation,2022-07-11,759
N92000002,Northern Ireland,nation,2022-07-10,783
N92000002,Northern Ireland,nation,2022-07-09,757
N92000002,Northern Ireland,nation,2022-07-08,744
N92000002,Northern Ireland,nation,2022-07-07,749
N92000002,Northern Ireland,nation,2022-07-06,775
N92000002,Northern Ireland,nation,2022-07-05,780
N92000002,Northern Ireland,nation,2022-07-04,773
N92000002,Northern Ireland,nation,2022-07-03,753
N92000002,Northern Ireland,nation,2022-07-02,720
N92000002,Northern Ireland,nation,2022-07-01,685
N92000002,Northern Ireland,nation,2022-06-30,685
N92000002,Northern Ireland,nation,2022-06-29,676
N92000002,Northern Ireland,nation,2022-06-28,669
N92000002,Northern Ireland,nation,2022-06-27,668
N92000002,Northern Ireland,nation,2022-06-26,662
N92000002,Northern Ireland,nation,2022-06-25,645
N92000002,Northern Ireland,nation,2022-06-24,623
N92000002,Northern Ireland,nation,2022-06-23,614
N92000002,Northern Ireland,nation,2022-06-22,604
N92000002,Northern Ireland,nation,2022-06-21,585
N92000002,Northern Ireland,nation,2022-06-20,560
N92000002,Northern Ireland,nation,2022-06-19,542
N92000002,Northern Ireland,nation,2022-06-18,519
N92000002,Northern Ireland,nation,2022-06-17,507
N92000002,Northern Ireland,nation,2022-06-16,497
N92000002,Northern Ireland,nation,2022-06-15,482
N92000002,Northern Ireland,nation,2022-06-14,473
N92000002,Northern Ireland,nation,2022-06-13,466
N92000002,Northern Ireland,nation,2022-06-12,460
N92000002,Northern Ireland,nation,2022-06-11,449
N92000002,Northern Ireland,nation,2022-06-10,439
N92000002,Northern Ireland,nation,2022-06-09,433
N92000002,Northern Ireland,nation,2022-06-08,405
N92000002,Northern Ireland,nation,2022-06-07,397
N92000002,Northern Ireland,nation,2022-06-06,377
N92000002,Northern Ireland,nation,2022-06-05,374
N92000002,Northern Ireland,nation,2022-06-04,358
N92000002,Northern Ireland,nation,2022-06-03,350
N92000002,Northern Ireland,nation,2022-06-02,340
N92000002,Northern Ireland,nation,2022-06-01,336
N92000002,Northern Ireland,nation,2022-05-31,329
N92000002,Northern Ireland,nation,2022-05-30,325
N92000002,Northern Ireland,nation,2022-05-29,322
N92000002,Northern Ireland,nation,2022-05-28,317
N92000002,Northern Ireland,nation,2022-05-27,308
N92000002,Northern Ireland,nation,2022-05-26,311
N92000002,Northern Ireland,nation,2022-05-25,314
N92000002,Northern Ireland,nation,2022-05-24,316
N92000002,Northern Ireland,nation,2022-05-23,312
N92000002,Northern Ireland,nation,2022-05-22,304
N92000002,Northern Ireland,nation,2022-05-21,291
N92000002,Northern Ireland,nation,2022-05-20,292
N92000002,Northern Ireland,nation,2022-05-19,295
N92000002,Northern Ireland,nation,2022-05-18,306
N92000002,Northern Ireland,nation,2022-05-17,310
N92000002,Northern Ireland,nation,2022-05-16,329
N92000002,Northern Ireland,nation,2022-05-15,333
N92000002,Northern Ireland,nation,2022-05-14,332
N92000002,Northern Ireland,nation,2022-05-13,329
N92000002,Northern Ireland,nation,2022-05-12,331
N92000002,Northern Ireland,nation,2022-05-11,343
N92000002,Northern Ireland,nation,2022-05-10,351
N92000002,Northern Ireland,nation,2022-05-09,359
N92000002,Northern Ireland,nation,2022-05-08,368
N92000002,Northern Ireland,nation,2022-05-07,364
N92000002,Northern Ireland,nation,2022-05-06,358
N92000002,Northern Ireland,nation,2022-05-05,369
N92000002,Northern Ireland,nation,2022-05-04,382
N92000002,Northern Ireland,nation,2022-05-03,396
N92000002,Northern Ireland,nation,2022-05-02,399
N92000002,Northern Ireland,nation,2022-05-01,398
N92000002,Northern Ireland,nation,2022-04-30,400
N92000002,Northern Ireland,nation,2022-04-29,403
N92000002,Northern Ireland,nation,2022-04-28,420
N92000002,Northern Ireland,nation,2022-04-27,441
N92000002,Northern Ireland,nation,2022-04-26,448
N92000002,Northern Ireland,nation,2022-04-25,462
N92000002,Northern Ireland,nation,2022-04-24,464
N92000002,Northern Ireland,nation,2022-04-23,460
N92000002,Northern Ireland,nation,2022-04-22,459
N92000002,Northern Ireland,nation,2022-04-21,473
N92000002,Northern Ireland,nation,2022-04-20,487
N92000002,Northern Ireland,nation,2022-04-19,508
N92000002,Northern Ireland,nation,2022-04-18,500
N92000002,Northern Ireland,nation,2022-04-17,499
N92000002,Northern Ireland,nation,2022-04-16,507
N92000002,Northern Ireland,nation,2022-04-15,517
N92000002,Northern Ireland,nation,2022-04-14,543
N92000002,Northern Ireland,nation,2022-04-13,564
N92000002,Northern Ireland,nation,2022-04-12,585
N92000002,Northern Ireland,nation,2022-04-11,597
N92000002,Northern Ireland,nation,2022-04-10,600
N92000002,Northern Ireland,nation,2022-04-09,586
N92000002,Northern Ireland,nation,2022-04-08,590
N92000002,Northern Ireland,nation,2022-04-07,613
N92000002,Northern Ireland,nation,2022-04-06,631
N92000002,Northern Ireland,nation,2022-04-05,664
N92000002,Northern Ireland,nation,2022-04-04,685
N92000002,Northern Ireland,nation,2022-04-03,695
N92000002,Northern Ireland,nation,2022-04-02,689
N92000002,Northern Ireland,nation,2022-04-01,678
N92000002,Northern Ireland,nation,2022-03-31,692
N92000002,Northern Ireland,nation,2022-03-30,707
N92000002,Northern Ireland,nation,2022-03-29,722
N92000002,Northern Ireland,nation,2022-03-28,731
N92000002,Northern Ireland,nation,2022-03-27,726
N92000002,Northern Ireland,nation,2022-03-26,709
N92000002,Northern Ireland,nation,2022-03-25,699
N92000002,Northern Ireland,nation,2022-03-24,722
N92000002,Northern Ireland,nation,2022-03-23,722
N92000002,Northern Ireland,nation,2022-03-22,730
N92000002,Northern Ireland,nation,2022-03-21,752
N92000002,Northern Ireland,nation,2022-03-20,746
N92000002,Northern Ireland,nation,2022-03-19,735
N92000002,Northern Ireland,nation,2022-03-18,730
N92000002,Northern Ireland,nation,2022-03-17,761
N92000002,Northern Ireland,nation,2022-03-16,746
N92000002,Northern Ireland,nation,2022-03-15,762
N92000002,Northern Ireland,nation,2022-03-14,759
N92000002,Northern Ireland,nation,2022-03-13,761
N92000002,Northern Ireland,nation,2022-03-12,732
N92000002,Northern Ireland,nation,2022-03-11,712
N92000002,Northern Ireland,nation,2022-03-10,709
N92000002,Northern Ireland,nation,2022-03-09,721
N92000002,Northern Ireland,nation,2022-03-08,711
N92000002,Northern Ireland,nation,2022-03-07,704
N92000002,Northern Ireland,nation,2022-03-06,719
N92000002,Northern Ireland,nation,2022-03-05,707
N92000002,Northern Ireland,nation,2022-03-04,703
N92000002,Northern Ireland,nation,2022-03-03,704
N92000002,Northern Ireland,nation,2022-03-02,697
N92000002,Northern Ireland,nation,2022-03-01,687
N92000002,Northern Ireland,nation,2022-02-28,689
N92000002,Northern Ireland,nation,2022-02-27,714
N92000002,Northern Ireland,nation,2022-02-26,708
N92000002,Northern Ireland,nation,2022-02-25,695
N92000002,Northern Ireland,nation,2022-02-24,726
N92000002,Northern Ireland,nation,2022-02-23,739
N92000002,Northern Ireland,nation,2022-02-22,740
N92000002,Northern Ireland,nation,2022-02-21,768
N92000002,Northern Ireland,nation,2022-02-20,769
N92000002,Northern Ireland,nation,2022-02-19,739
N92000002,Northern Ireland,nation,2022-02-18,725
N92000002,Northern Ireland,nation,2022-02-17,739
N92000002,Northern Ireland,nation,2022-02-16,736
N92000002,Northern Ireland,nation,2022-02-15,734
N92000002,Northern Ireland,nation,2022-02-14,727
N92000002,Northern Ireland,nation,2022-02-13,733
N92000002,Northern Ireland,nation,2022-02-12,718
N92000002,Northern Ireland,nation,2022-02-11,690
N92000002,Northern Ireland,nation,2022-02-10,698
N92000002,Northern Ireland,nation,2022-02-09,694
N92000002,Northern Ireland,nation,2022-02-08,692
N92000002,Northern Ireland,nation,2022-02-07,696
N92000002,Northern Ireland,nation,2022-02-06,689
N92000002,Northern Ireland,nation,2022-02-05,669
N92000002,Northern Ireland,nation,2022-02-04,646
N92000002,Northern Ireland,nation,2022-02-03,650
N92000002,Northern Ireland,nation,2022-02-02,650
N92000002,Northern Ireland,nation,2022-02-01,625
N92000002,Northern Ireland,nation,2022-01-31,617
N92000002,Northern Ireland,nation,2022-01-30,612
N92000002,Northern Ireland,nation,2022-01-29,595
N92000002,Northern Ireland,nation,2022-01-28,597
N92000002,Northern Ireland,nation,2022-01-27,620
N92000002,Northern Ireland,nation,2022-01-26,623
N92000002,Northern Ireland,nation,2022-01-25,623
N92000002,Northern Ireland,nation,2022-01-24,615
N92000002,Northern Ireland,nation,2022-01-23,623
N92000002,Northern Ireland,nation,2022-01-22,615
N92000002,Northern Ireland,nation,2022-01-21,605
N92000002,Northern Ireland,nation,2022-01-20,615
N92000002,Northern Ireland,nation,2022-01-19,626
N92000002,Northern Ireland,nation,2022-01-18,628
N92000002,Northern Ireland,nation,2022-01-17,635
N92000002,Northern Ireland,nation,2022-01-16,641
N92000002,Northern Ireland,nation,2022-01-15,631
N92000002,Northern Ireland,nation,2022-01-14,621
N92000002,Northern Ireland,nation,2022-01-13,638
N92000002,Northern Ireland,nation,2022-01-12,654
N92000002,Northern Ireland,nation,2022-01-11,659
N92000002,Northern Ireland,nation,2022-01-10,664
N92000002,Northern Ireland,nation,2022-01-09,668
N92000002,Northern Ireland,nation,2022-01-08,653
N92000002,Northern Ireland,nation,2022-01-07,642
N92000002,Northern Ireland,nation,2022-01-06,650
N92000002,Northern Ireland,nation,2022-01-05,637
N92000002,Northern Ireland,nation,2022-01-04,626
N92000002,Northern Ireland,nation,2022-01-03,632
N92000002,Northern Ireland,nation,2022-01-02,606
N92000002,Northern Ireland,nation,2022-01-01,590
N92000002,Northern Ireland,nation,2021-12-31,564
N92000002,Northern Ireland,nation,2021-12-30,544
N92000002,Northern Ireland,nation,2021-12-29,530
N92000002,Northern Ireland,nation,2021-12-28,515
N92000002,Northern Ireland,nation,2021-12-27,499
N92000002,Northern Ireland,nation,2021-12-26,463
